loan_id,customer_id,loan_amount,interest_rate,loan_term_months,loan_type,loan_purpose,application_date,approval_status,loan_status
1,1,578638,16.2,12,Business Loan,Home Purchase,2024-07-15,Rejected,Not Issued
2,1,2004018,17.42,60,Education Loan,Education,2022-08-26,Rejected,Not Issued
3,2,2777749,15.49,24,Education Loan,Business Expansion,2026-02-24,Pending,Not Issued
4,2,2645204,16.6,84,Car Loan,Vehicle,2026-02-20,Pending,Not Issued
5,2,3080958,17.15,48,Education Loan,Travel,2025-08-24,Rejected,Not Issued
6,3,675549,16.37,60,Car Loan,Vehicle,2023-06-07,Rejected,Not Issued
7,3,592956,13.93,84,Business Loan,Travel,2023-09-28,Pending,Not Issued
8,4,1513281,12.86,48,Home Loan,Travel,2025-12-02,Pending,Not Issued
9,4,2254973,14.86,120,Education Loan,Travel,2024-04-27,Pending,Not Issued
10,5,149860,12.75,36,Personal Loan,Travel,2022-11-08,Approved,Active
11,5,631837,15.97,120,Education Loan,Home Purchase,2022-10-27,Approved,Closed
12,5,708354,12.88,12,Car Loan,Business Expansion,2022-11-12,Approved,Active
13,6,4047291,16.63,60,Personal Loan,Travel,2022-08-21,Rejected,Not Issued
14,6,2955958,12.8,120,Home Loan,Travel,2026-01-17,Pending,Not Issued
15,7,4570521,13.08,48,Personal Loan,Vehicle,2023-01-06,Pending,Not Issued
16,8,884559,12.87,12,Business Loan,Medical,2023-04-17,Pending,Not Issued
17,9,1457223,17.23,12,Personal Loan,Business Expansion,2025-03-20,Rejected,Not Issued
18,9,2783951,17.47,84,Personal Loan,Wedding,2025-05-12,Pending,Not Issued
19,9,2042297,16.35,24,Home Loan,Travel,2024-06-03,Rejected,Not Issued
20,10,1078160,16.16,24,Education Loan,Travel,2025-01-30,Pending,Not Issued
21,10,585991,16.33,12,Personal Loan,Wedding,2023-09-27,Pending,Not Issued
22,11,550470,12.42,120,Home Loan,Medical,2022-11-12,Rejected,Not Issued
23,12,1468891,13.07,48,Home Loan,Medical,2023-07-25,Pending,Not Issued
24,12,2527708,16.01,84,Personal Loan,Business Expansion,2023-07-17,Rejected,Not Issued
25,13,4820534,7.26,48,Home Loan,Education,2026-02-09,Approved,Default
26,13,182007,8.21,36,Business Loan,Vehicle,2022-12-04,Approved,Active
27,13,2488038,7.87,24,Home Loan,Wedding,2023-01-19,Approved,Active
28,14,1216730,9.77,60,Business Loan,Wedding,2026-05-08,Approved,Closed
29,14,3207882,11.46,60,Personal Loan,Wedding,2026-02-22,Approved,Closed
30,15,1153910,15.97,48,Home Loan,Education,2023-01-05,Rejected,Not Issued
31,15,1512945,12.89,12,Personal Loan,Education,2022-11-09,Rejected,Not Issued
32,16,4012940,9.17,120,Education Loan,Medical,2025-12-26,Approved,Active
33,16,606657,10.37,24,Home Loan,Vehicle,2025-05-30,Approved,Active
34,16,4988618,9.65,60,Personal Loan,Business Expansion,2024-09-29,Pending,Not Issued
35,17,343270,16.01,60,Education Loan,Home Purchase,2025-09-07,Rejected,Not Issued
36,17,402944,12.95,120,Business Loan,Travel,2025-10-23,Pending,Not Issued
37,18,4872913,7.88,36,Personal Loan,Wedding,2024-11-17,Approved,Closed
38,18,3259059,7.91,12,Home Loan,Education,2022-09-28,Approved,Active
39,18,1896753,7.9,84,Personal Loan,Business Expansion,2025-07-16,Approved,Active
40,19,269372,13.44,48,Car Loan,Home Purchase,2025-07-01,Approved,Closed
41,20,751055,13.97,120,Home Loan,Education,2023-09-16,Pending,Not Issued
42,20,4751852,13.35,24,Home Loan,Wedding,2024-07-31,Pending,Not Issued
43,20,3076744,12.23,60,Personal Loan,Medical,2025-08-26,Approved,Default
44,21,2169353,13.85,120,Business Loan,Business Expansion,2023-10-24,Rejected,Not Issued
45,22,456319,13.8,60,Personal Loan,Education,2025-10-03,Rejected,Not Issued
46,22,851907,12.34,48,Business Loan,Business Expansion,2026-04-09,Rejected,Not Issued
47,22,734199,17.26,24,Car Loan,Vehicle,2025-10-15,Rejected,Not Issued
48,23,280982,10.15,48,Personal Loan,Education,2024-06-21,Approved,Active
49,23,4185185,11.52,48,Home Loan,Vehicle,2026-01-13,Approved,Active
50,24,2598176,8.7,48,Business Loan,Business Expansion,2024-03-29,Approved,Default
51,25,570255,12.89,120,Car Loan,Travel,2025-08-15,Rejected,Not Issued
52,25,624681,14.51,60,Business Loan,Travel,2024-09-11,Pending,Not Issued
53,26,282022,17.92,24,Car Loan,Travel,2023-08-14,Rejected,Not Issued
54,26,478712,15.22,12,Business Loan,Business Expansion,2022-09-20,Rejected,Not Issued
55,26,505732,14.38,60,Business Loan,Education,2023-03-28,Rejected,Not Issued
56,27,4230886,15.46,120,Business Loan,Travel,2023-07-07,Pending,Not Issued
57,27,2100100,17.81,36,Home Loan,Travel,2024-04-24,Rejected,Not Issued
58,27,2813750,14.46,60,Personal Loan,Vehicle,2026-06-21,Rejected,Not Issued
59,28,1752598,16.96,48,Education Loan,Home Purchase,2025-02-13,Pending,Not Issued
60,28,789347,17.29,60,Business Loan,Medical,2022-11-17,Pending,Not Issued
61,29,371636,16.79,48,Personal Loan,Medical,2022-10-06,Rejected,Not Issued
62,30,3697633,8.88,12,Car Loan,Medical,2025-03-01,Approved,Active
63,30,242815,7.19,60,Business Loan,Home Purchase,2025-08-19,Approved,Active
64,31,3987143,13.02,36,Education Loan,Education,2022-11-20,Pending,Not Issued
65,31,903850,14.51,48,Car Loan,Wedding,2024-12-22,Rejected,Not Issued
66,31,129376,14.17,24,Car Loan,Wedding,2023-04-02,Pending,Not Issued
67,32,437160,17.06,84,Home Loan,Education,2023-03-20,Pending,Not Issued
